#{"t_start": 1765725402.6071446, "env_id": "Reacher-v5"}
r,l,t
-7.200355,50,80.355283
-7.845917,50,81.358061
-13.110229,50,82.243866
-13.637272,50,83.080625
-13.653548,50,83.937655
-9.81101,50,84.849771
-9.87953,50,85.741075
-13.804105,50,86.748363
-11.349777,50,87.782294
-11.361115,50,89.421442
-11.780845,50,90.318546
-10.23014,50,91.237766
-6.616179,50,92.236795
-9.503676,50,93.331493
-13.657779,50,94.265604
-8.460984,50,95.178488
-7.732326,50,96.033814
-12.958115,50,97.01592
-8.186239,50,97.89028
-7.230801,50,98.779939
-8.08058,50,99.638548
-12.104,50,101.063185
-7.626414,50,102.462378
-7.225405,50,103.356832
-5.516485,50,104.289135
-10.468721,50,105.370551
-7.378005,50,106.441694
-5.157288,50,107.571483
-10.238254,50,108.795567
-8.313506,50,110.227489
-11.076987,50,111.296582
-4.553101,50,112.169643
-7.803252,50,113.135473
-4.113598,50,114.032988
-9.754964,50,114.883939
-4.785623,50,115.800644
-10.221654,50,116.659171
-9.373542,50,117.668619
-9.38409,50,118.60854
-7.546327,50,119.448018
-6.803579,50,120.314135
-12.333712,50,121.211417
-4.983191,50,122.078197
-6.855818,50,123.019816
-5.306057,50,123.864323
-4.46657,50,124.770915
-10.783446,50,125.670515
-4.759058,50,126.550413
-5.901391,50,127.394669
-9.169161,50,128.406857
-6.35939,50,129.248395
-5.002209,50,130.087232
-5.18169,50,130.93834
-6.841722,50,131.840181
-9.03851,50,132.687188
-4.47221,50,133.665421
-9.755492,50,134.507891
-12.311399,50,135.481025
-5.196832,50,136.34854
-7.023737,50,137.222934
-5.247394,50,138.095003
-5.651792,50,139.088325
-7.709865,50,139.945874
-10.160112,50,140.796999
-4.516364,50,141.663462
-4.321361,50,142.544725
-9.886848,50,143.554299
-11.265269,50,144.433123
-5.213796,50,145.318407
-8.386017,50,146.266344
-3.48401,50,147.114948
-4.109345,50,147.981918
-4.399678,50,148.944811
-3.834682,50,149.840432
-1.587974,50,150.699289
-3.448488,50,151.53983
-3.065726,50,152.372058
-6.884125,50,153.29101
-3.077126,50,154.231318
-3.845979,50,155.123132
-5.679649,50,155.980259
-2.605703,50,156.931395
-2.941847,50,157.782696
-2.444552,50,158.630192
-2.243296,50,159.649973
-2.089929,50,160.596076
-5.225158,50,161.478088
-2.287079,50,162.430105
-4.413951,50,163.273171
-3.723418,50,164.283472
-2.865868,50,165.286403
-4.303833,50,166.158713
-3.470285,50,167.02479
-2.434776,50,167.968977
-2.20218,50,168.830195
-2.881677,50,169.78978
-4.054584,50,170.661487
-2.540501,50,171.561294
-3.057256,50,172.452827
-2.0308,50,173.302261
-3.792927,50,174.140663
-1.85765,50,175.39477
-4.069198,50,176.248863
-2.12443,50,177.121437
-2.503621,50,177.963299
-2.518198,50,178.845195
-3.725691,50,179.804004
-2.516128,50,180.658891
-2.711842,50,181.523586
-3.489781,50,182.432002
-4.156296,50,183.302515
-4.126462,50,184.148809
-3.709391,50,185.102658
-3.34505,50,186.065847
-2.941495,50,186.941755
-1.965944,50,187.804042
-4.001381,50,188.651468
-2.293995,50,189.540014
-2.561575,50,190.593941
-2.351539,50,191.439395
-4.448273,50,192.297508
-3.679767,50,193.199611
-2.937627,50,194.048368
-3.298088,50,194.908194
-2.917304,50,195.904338
-3.164752,50,196.85424
-3.236327,50,197.720215
-2.697637,50,198.586677
-2.237959,50,199.44967
-2.839289,50,200.374948
-3.574645,50,201.342558
-4.443893,50,202.205782
-2.575106,50,203.062963
-2.825329,50,203.980627
-2.388063,50,204.836606
-2.948421,50,205.848583
-2.123826,50,206.711465
-2.100522,50,207.679846
-1.707669,50,208.523829
-3.436537,50,209.359065
-5.906361,50,210.215146
-3.137592,50,211.213824
-3.530002,50,212.081848
-1.580674,50,212.92164
-1.692542,50,213.760794
-2.2034,50,214.676
-1.355908,50,215.576581
-5.331729,50,216.635889
-2.959949,50,217.486314
-2.224744,50,218.373303
-3.365033,50,219.247394
-2.896267,50,220.084682
-2.43864,50,220.940193
-1.660389,50,221.950788
-3.316969,50,222.809004
-1.697007,50,223.676595
-4.955709,50,224.513665
-3.080069,50,225.473704
-3.116013,50,226.437072
-8.033797,50,227.32718
-3.928764,50,228.202545
-2.846164,50,229.105188
-1.721569,50,230.010284
-6.75191,50,230.8618
-3.71574,50,231.844755
-4.699253,50,232.771632
-5.991407,50,233.616489
-3.086599,50,234.482239
-2.005343,50,235.377743
-3.297272,50,236.323589
-3.881475,50,237.283486
-3.014811,50,238.130448
-3.863191,50,238.998835
-3.327873,50,239.922059
-2.411592,50,240.877989
-6.893037,50,241.722961
-2.963168,50,242.686095
-4.737292,50,243.592417
