#{"t_start": 1765929090.221403, "env_id": "Reacher-v5"}
r,l,t
111.247092,50,9.425943
67.108234,50,9.554084
162.045703,50,9.680934
130.691038,50,9.808045
163.115957,50,9.935101
113.326277,50,10.0796
158.221126,50,10.206644
78.546721,50,10.333158
175.34818,50,10.459787
197.969172,50,10.588058
161.025201,50,10.714706
49.189195,50,10.841466
79.979337,50,10.968419
195.597575,50,11.096945
83.80032,50,11.223659
177.964306,50,11.351578
199.098768,50,11.478733
172.608596,50,11.606736
174.804636,50,11.733175
135.372962,50,11.859366
127.338725,50,11.985425
177.005208,50,12.113121
154.090716,50,12.239373
30.096321,50,12.365498
86.684294,50,12.491709
166.106003,50,12.619129
72.092289,50,12.745287
55.456015,50,12.871374
183.956265,50,12.997616
94.827564,50,13.12511
29.521276,50,13.251225
152.718033,50,13.377483
156.938727,50,13.50391
162.292444,50,13.631273
152.820458,50,13.757574
136.509151,50,13.883795
146.461702,50,14.010263
205.630965,50,14.137165
12.71272,50,14.26336
127.188516,50,14.389645
138.78944,50,14.515722
75.216349,50,14.643134
144.795407,50,14.769312
187.134716,50,14.895746
139.561705,50,15.02208
154.35591,50,15.148879
217.915534,50,15.275276
171.202153,50,15.401713
74.719642,50,15.528131
204.22118,50,15.65574
208.202972,50,15.781833
114.365448,50,15.908174
205.07306,50,16.034518
118.931004,50,16.162041
110.907513,50,16.288392
143.276306,50,16.41449
139.87719,50,16.547909
29.101535,50,16.683166
126.785389,50,16.810428
142.082935,50,16.937452
52.88,50,17.063908
88.800317,50,17.192055
219.110912,50,17.3186
139.369727,50,17.445044
170.935321,50,17.571831
112.657658,50,17.699655
162.658029,50,17.826402
56.9851,50,17.953129
155.943353,50,18.079715
102.352355,50,18.207267
106.632684,50,18.333763
152.502991,50,18.459916
174.524428,50,18.586514
241.265286,50,18.714953
283.350177,50,18.841566
96.911986,50,18.968014
151.222896,50,19.094216
25.845353,50,19.22178
208.154493,50,19.348113
145.122069,50,19.474486
188.473141,50,19.600891
218.335129,50,19.728573
169.453637,50,19.855013
157.473405,50,19.981376
42.672601,50,20.107872
232.386424,50,20.235133
59.777593,50,20.361541
162.030759,50,20.488052
177.488883,50,20.614659
87.428108,50,20.742257
221.701355,50,20.868659
199.188928,50,20.995443
178.314019,50,21.121749
152.298313,50,21.249055
60.577736,50,21.375462
120.847325,50,21.501937
155.6231,50,21.628239
165.780004,50,21.755839
106.85403,50,21.88231
57.838469,50,22.008542
217.402169,50,22.134655
197.836947,50,22.263161
187.294059,50,22.390005
103.431961,50,22.516689
165.260802,50,22.643284
228.026592,50,22.770959
73.551195,50,22.897589
133.07477,50,23.024287
63.845236,50,23.151137
151.459374,50,23.278876
85.46082,50,23.405607
64.391017,50,23.532138
190.485081,50,23.658624
135.257529,50,23.786306
120.734428,50,23.912956
198.161868,50,24.039401
218.504693,50,24.165877
222.653939,50,24.293458
156.298782,50,24.42014
159.157486,50,24.546971
101.488283,50,24.673353
187.952689,50,24.800902
112.240302,50,24.927468
204.49785,50,25.053779
179.251698,50,25.180098
200.715005,50,25.307781
210.447623,50,25.434433
188.587657,50,25.560534
264.96949,50,25.687042
199.734086,50,25.81488
195.062606,50,25.941471
178.849753,50,26.068028
163.661195,50,26.194699
134.732846,50,26.322385
193.113173,50,26.448865
98.692969,50,26.575329
180.515489,50,26.702031
257.953226,50,26.866406
188.237659,50,27.026955
120.404885,50,27.158437
211.73413,50,27.287755
184.805434,50,27.418176
159.614439,50,27.557488
100.529549,50,27.684474
172.596681,50,27.811072
172.406092,50,27.938772
163.33531,50,28.065195
195.173245,50,28.191266
85.709628,50,28.317585
230.805321,50,28.446539
118.860896,50,28.613808
185.314259,50,28.745259
44.66694,50,28.877565
157.249717,50,29.006653
15.824693,50,29.133115
66.034481,50,29.259253
178.569987,50,29.385415
